m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0,362,0.1320,0.0000,0.0000,633,518,4960
1009,1000,H_DIV,271828,0,381,0.1410,0.0000,0.0000,634,513,5958
1009,1000,H_DIV,314159,0,372,0.1400,0.0000,0.0000,626,518,5361
1009,1000,H_MUL,137,0,364,0.1160,0.0000,0.2000,619,476,4716
1009,1000,H_MUL,271828,0,350,0.1250,0.2000,0.0000,635,500,5441
1009,1000,H_MUL,314159,0,371,0.1180,0.2000,0.0000,625,510,5844
1009,1000,H_FOLD,137,0,379,0.1510,0.2000,0.0000,639,494,5968
1009,1000,H_FOLD,271828,1,369,0.1340,0.0000,0.0000,634,450,5904
1009,1000,H_FOLD,314159,0,368,0.1260,0.0000,0.2000,625,469,4854
1009,10000,H_DIV,137,2,8991,4.0586,0.4000,0.4000,17507,49820,4960
1009,10000,H_DIV,271828,0,8991,4.0473,0.2000,0.4000,17500,49286,5958
1009,10000,H_DIV,314159,0,8991,4.0558,0.0000,0.2000,17466,49253,5361
1009,10000,H_MUL,137,1,8991,4.0469,0.2000,0.2000,17166,49582,4716
1009,10000,H_MUL,271828,1,8991,4.0479,0.2000,0.2000,17256,49736,5441
1009,10000,H_MUL,314159,0,8991,4.0579,0.2000,0.2000,17265,49586,5844
1009,10000,H_FOLD,137,0,8991,4.0386,0.0000,0.2000,17615,49375,5968
1009,10000,H_FOLD,271828,0,8991,4.0211,0.0000,0.2000,17244,49501,5904
1009,10000,H_FOLD,314159,0,8991,4.0671,0.2000,0.4000,17327,50288,4854
1009,100000,H_DIV,137,53,98991,48.6195,10.4000,57.0000,1290842,4957606,4960
1009,100000,H_DIV,271828,60,98991,48.5808,10.8000,54.0000,1289509,4953590,5958
1009,100000,H_DIV,314159,49,98991,48.5641,10.0000,54.4000,1286981,4956637,5361
1009,100000,H_MUL,137,49,98991,48.5920,9.4000,52.4000,1287680,4955418,4716
1009,100000,H_MUL,271828,49,98991,48.5693,9.2000,52.6000,1287618,4957339,5441
1009,100000,H_MUL,314159,48,98991,48.5950,9.2000,53.0000,1290828,4953357,5844
1009,100000,H_FOLD,137,49,98991,48.5397,9.4000,53.0000,1287938,4956064,5968
1009,100000,H_FOLD,271828,48,98991,48.5517,9.0000,52.4000,1287935,4956650,5904
1009,100000,H_FOLD,314159,48,98991,48.5297,9.0000,51.8000,1287436,4952050,4854
10007,1000,H_DIV,137,0,49,0.0000,0.0000,0.0000,510,56,58248
10007,1000,H_DIV,271828,0,42,0.0020,0.0000,0.0000,512,42,52055
